symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,net_pnl_usd,r_multiple_net
GBPUSD,SELL,0.19,2026-08-14 12:00:00+00:00,1.35348,1.3547326218475337,1.3499155000000003,2026-08-14 12:30:00+00:00,1.3547326218475337,SL,-24.7498,-1.0399
GBPUSD,SELL,0.14,2026-08-14 13:00:00+00:00,1.35383,1.35555243457271,1.3501790000000002,2026-08-14 13:38:00+00:00,1.35555243457271,SL,-24.8141,-1.029
EURUSD,SELL,0.15,2026-08-14 13:00:00+00:00,1.1566,1.1582357064406863,1.1541200000000003,2026-08-14 13:39:00+00:00,1.1582357064406863,SL,-25.2856,-1.0306
EURUSD,SELL,0.29,2026-08-14 14:00:00+00:00,1.15805,1.1588985131234943,1.1543825,2026-08-17 04:14:00+00:00,1.1588985131234943,SL,-26.0569,-1.0589
EURUSD,SELL,0.51,2026-08-17 07:00:00+00:00,1.15958,1.160061729763575,1.1575799999999996,2026-08-17 07:18:00+00:00,1.160061729763575,SL,-27.1182,-1.1038
GBPUSD,SELL,0.15,2026-08-14 14:00:00+00:00,1.35515,1.3567140463889449,1.350527,2026-08-17 07:30:00+00:00,1.3567140463889449,SL,-24.2107,-1.032
EURUSD,SELL,0.25,2026-08-17 08:00:00+00:00,1.16065,1.1616130347804623,1.1577869999999997,2026-08-17 17:40:00+00:00,1.1577869999999997,TP,70.325,2.921
GBPUSD,BUY,0.25,2026-08-17 19:00:00+00:00,1.3539800000000002,1.352989225838852,1.355411,2026-08-18 06:03:00+00:00,1.352989225838852,SL,-26.0194,-1.0505
GBPUSD,BUY,0.19,2026-08-18 07:00:00+00:00,1.3528300000000002,1.3515636014076637,1.3546179999999999,2026-08-18 14:18:00+00:00,1.3546179999999999,TP,33.022,1.3724
EURUSD,SELL,0.29,2026-08-19 03:00:00+00:00,1.15824,1.1590774880178467,1.1576875000000002,2026-08-19 06:04:00+00:00,1.1590774880178467,SL,-25.7372,-1.0597
GBPUSD,SELL,0.22,2026-08-19 07:00:00+00:00,1.3551,1.3562297183465375,1.353663,2026-08-19 08:08:00+00:00,1.3562297183465375,SL,-25.9538,-1.0443
EURUSD,SELL,0.33,2026-08-19 07:00:00+00:00,1.15946,1.1602108479612068,1.1579125,2026-08-19 08:10:00+00:00,1.1602108479612068,SL,-26.428,-1.0666
EURUSD,SELL,0.23,2026-08-19 09:00:00+00:00,1.15981,1.1608780780889998,1.158129,2026-08-19 09:50:00+00:00,1.1608780780889998,SL,-25.7158,-1.0468
EURUSD,SELL,0.45,2026-08-19 10:00:00+00:00,1.16064,1.1611946439397856,1.1582585,2026-08-19 10:23:00+00:00,1.1611946439397856,SL,-27.209,-1.0901
GBPUSD,SELL,0.4,2026-08-19 10:00:00+00:00,1.3558,1.3564239271892649,1.3540005000000002,2026-08-19 10:23:00+00:00,1.3564239271892649,SL,-26.9571,-1.0801
EURUSD,SELL,0.27,2026-08-19 11:00:00+00:00,1.16064,1.1615621693726579,1.1583865,2026-08-19 12:34:00+00:00,1.1615621693726579,SL,-26.2486,-1.0542
GBPUSD,SELL,0.16,2026-08-19 13:00:00+00:00,1.35947,1.3609417959310552,1.354388,2026-08-19 13:09:00+00:00,1.3609417959310552,SL,-24.3487,-1.034
EURUSD,SELL,0.19,2026-08-19 13:00:00+00:00,1.16358,1.1648481970611184,1.1587865,2026-08-19 13:10:00+00:00,1.1648481970611184,SL,-25.0457,-1.0394
EURUSD,SELL,0.28,2026-08-19 14:00:00+00:00,1.16562,1.1664976115567527,1.1591855,2026-08-19 14:12:00+00:00,1.1664976115567527,SL,-25.9731,-1.057
GBPUSD,SELL,0.17,2026-08-19 14:00:00+00:00,1.36168,1.363090596221694,1.3548035,2026-08-19 14:38:00+00:00,1.363090596221694,SL,-24.8301,-1.0354
GBPUSD,SELL,0.18,2026-08-20 08:00:00+00:00,1.36247,1.363787412051065,1.3606724999999997,2026-08-20 08:52:00+00:00,1.363787412051065,SL,-24.6134,-1.038
EURUSD,SELL,0.38,2026-08-20 09:00:00+00:00,1.16986,1.1705011303450101,1.1674875000000002,2026-08-20 09:12:00+00:00,1.1705011303450101,SL,-26.263,-1.078
GBPUSD,SELL,0.28,2026-08-20 09:00:00+00:00,1.36353,1.3644100969045605,1.3608759999999998,2026-08-20 09:20:00+00:00,1.3644100969045605,SL,-26.0427,-1.0568
GBPUSD,SELL,0.35,2026-08-20 10:00:00+00:00,1.36475,1.3654497328399489,1.361027,2026-08-20 10:10:00+00:00,1.3654497328399489,SL,-26.2406,-1.0715
EURUSD,SELL,0.31,2026-08-20 10:00:00+00:00,1.1707,1.1714942638917951,1.1677405000000003,2026-08-20 13:49:00+00:00,1.1677405000000003,TP,90.1945,3.6631
GBPUSD,SELL,0.11,2026-08-20 11:00:00+00:00,1.36443,1.3666276090656668,1.3612045000000002,2026-08-21 08:59:00+00:00,1.3666276090656668,SL,-24.7237,-1.0228
GBPUSD,SELL,0.36,2026-08-21 09:00:00+00:00,1.36649,1.3671682557125289,1.36387,2026-08-21 09:06:00+00:00,1.3671682557125289,SL,-26.2172,-1.0737
EURUSD,SELL,0.41,2026-08-21 09:00:00+00:00,1.17053,1.1711270370956397,1.1685605,2026-08-21 09:10:00+00:00,1.1711270370956397,SL,-26.5285,-1.0837
EURUSD,BUY,0.31,2026-08-24 08:00:00+00:00,1.16682,1.166031607095694,1.1679975,2026-08-24 09:37:00+00:00,1.166031607095694,SL,-25.9902,-1.0634
GBPUSD,BUY,0.3,2026-08-24 09:00:00+00:00,1.36227,1.3614556895271779,1.3642640000000001,2026-08-24 12:27:00+00:00,1.3642640000000001,TP,58.32,2.3873
EURUSD,BUY,0.26,2026-08-24 10:00:00+00:00,1.16653,1.1656004673427158,1.167766,2026-08-24 17:47:00+00:00,1.1656004673427158,SL,-25.4678,-1.0538
EURUSD,BUY,0.46,2026-08-25 05:00:00+00:00,1.16568,1.1651439363168798,1.1663829999999997,2026-08-25 06:56:00+00:00,1.1651439363168798,SL,-26.9589,-1.0933
EURUSD,BUY,0.43,2026-08-25 07:00:00+00:00,1.1653499999999999,1.1647794144773096,1.1662709999999998,2026-08-25 07:19:00+00:00,1.1662709999999998,TP,37.453,1.5265
GBPUSD,SELL,0.21,2026-08-25 10:00:00+00:00,1.36426,1.365432210681685,1.3632324999999998,2026-08-25 11:03:00+00:00,1.3632324999999998,TP,20.5275,0.8339
EURUSD,SELL,0.38,2026-08-25 14:00:00+00:00,1.16727,1.1679152256105678,1.1662744999999999,2026-08-25 19:17:00+00:00,1.1679152256105678,SL,-26.4186,-1.0775
GBPUSD,SELL,0.37,2026-08-25 20:00:00+00:00,1.36524,1.3659048582651658,1.3636075,2026-08-26 04:14:00+00:00,1.3636075,TP,58.5525,2.3802
GBPUSD,BUY,0.27,2026-08-26 11:00:00+00:00,1.36217,1.3612581891558282,1.3638835,2026-08-26 12:40:00+00:00,1.3612581891558282,SL,-25.9689,-1.0548
EURUSD,BUY,0.46,2026-08-26 13:00:00+00:00,1.16571,1.1651714033541625,1.1669204999999998,2026-08-26 13:04:00+00:00,1.1651714033541625,SL,-27.0754,-1.0928
GBPUSD,BUY,0.35,2026-08-26 13:00:00+00:00,1.3608600000000002,1.360160351874158,1.3636905000000001,2026-08-26 13:40:00+00:00,1.360160351874158,SL,-26.2377,-1.0715
GBPUSD,BUY,0.35,2026-08-26 14:00:00+00:00,1.36036,1.3596510410260039,1.3634819999999999,2026-08-26 14:02:00+00:00,1.3596510410260039,SL,-26.5636,-1.0705
EURUSD,BUY,0.4,2026-08-26 14:00:00+00:00,1.16538,1.1647620174002937,1.1668129999999999,2026-08-26 14:19:00+00:00,1.1647620174002937,SL,-26.7193,-1.0809
GBPUSD,BUY,0.21,2026-08-26 15:00:00+00:00,1.35891,1.3577463238098606,1.3631920000000002,2026-08-27 09:03:00+00:00,1.3577463238098606,SL,-25.4872,-1.043
EURUSD,BUY,0.31,2026-08-26 15:00:00+00:00,1.16461,1.1638086590145582,1.166668,2026-08-27 11:10:00+00:00,1.1638086590145582,SL,-26.3916,-1.0624
